(0.01, -0.12, 0.25)(0.00, -0.08, 0.27)(-0.02, -0.11, 0.26)(-0.06, -0.09, 0.26)(-0.08, -0.07, 0.26)(-0.09, -0.06, 0.27)(-0.01, -0.11, 0.26)(-0.04, -0.05, 0.26)(-0.06, -0.01, 0.26)(-0.07, 0.01, 0.27)(-0.07, 0.02, 0.27)(0.00, -0.11, 0.26)(-0.02, -0.05, 0.27)(-0.03, 0.00, 0.27)(-0.04, 0.03, 0.27)(-0.04, 0.05, 0.27)(0.01, -0.11, 0.27)(0.00, -0.04, 0.28)(0.00, 0.00, 0.27)(-0.01, 0.02, 0.28)(-0.01, 0.04, 0.28)(0.02, -0.11, 0.27)(0.02, -0.05, 0.29)(0.02, -0.02, 0.28)(0.03, 0.00, 0.28)(0.03, 0.01, 0.29)
(0.00, -0.13, 0.25)(-0.02, -0.09, 0.27)(-0.02, -0.12, 0.25)(-0.07, -0.11, 0.25)(-0.10, -0.10, 0.26)(-0.11, -0.09, 0.26)(-0.02, -0.12, 0.26)(-0.06, -0.07, 0.26)(-0.08, -0.03, 0.26)(-0.10, -0.01, 0.27)(-0.11, 0.00, 0.27)(-0.01, -0.12, 0.26)(-0.04, -0.06, 0.27)(-0.06, -0.01, 0.27)(-0.07, 0.01, 0.27)(-0.08, 0.03, 0.27)(0.00, -0.11, 0.26)(-0.02, -0.05, 0.28)(-0.04, -0.01, 0.27)(-0.04, 0.01, 0.28)(-0.05, 0.03, 0.28)(0.01, -0.11, 0.27)(0.00, -0.06, 0.29)(0.00, -0.02, 0.28)(-0.01, 0.00, 0.28)(-0.01, 0.01, 0.29)
(0.00, -0.13, 0.25)(-0.01, -0.08, 0.27)(-0.02, -0.12, 0.25)(-0.06, -0.10, 0.25)(-0.09, -0.08, 0.26)(-0.10, -0.07, 0.26)(-0.01, -0.11, 0.26)(-0.04, -0.06, 0.26)(-0.07, -0.02, 0.26)(-0.08, 0.00, 0.27)(-0.09, 0.01, 0.27)(0.00, -0.11, 0.26)(-0.02, -0.05, 0.27)(-0.04, 0.00, 0.27)(-0.05, 0.03, 0.27)(-0.05, 0.04, 0.28)(0.01, -0.11, 0.26)(-0.01, -0.05, 0.28)(-0.01, -0.01, 0.28)(-0.02, 0.02, 0.28)(-0.02, 0.03, 0.29)(0.01, -0.11, 0.27)(0.01, -0.06, 0.29)(0.01, -0.02, 0.28)(0.02, 0.00, 0.29)(0.01, 0.01, 0.29)
(0.01, -0.12, 0.26)(0.02, -0.08, 0.27)(-0.01, -0.10, 0.26)(-0.04, -0.07, 0.26)(-0.05, -0.04, 0.26)(-0.06, -0.03, 0.27)(0.00, -0.10, 0.26)(0.00, -0.04, 0.27)(-0.01, 0.01, 0.27)(-0.01, 0.03, 0.28)(-0.02, 0.04, 0.29)(0.01, -0.11, 0.26)(0.02, -0.04, 0.28)(0.02, 0.01, 0.29)(0.02, 0.04, 0.29)(0.02, 0.05, 0.30)(0.02, -0.11, 0.27)(0.03, -0.05, 0.29)(0.04, 0.00, 0.29)(0.04, 0.02, 0.30)(0.05, 0.04, 0.31)(0.03, -0.11, 0.28)(0.05, -0.06, 0.30)(0.06, -0.03, 0.30)(0.07, -0.01, 0.31)(0.07, 0.00, 0.31)
(0.03, -0.12, 0.26)(0.05, -0.09, 0.29)(0.01, -0.09, 0.27)(0.00, -0.05, 0.27)(0.00, -0.02, 0.28)(-0.01, 0.00, 0.29)(0.02, -0.10, 0.27)(0.04, -0.04, 0.29)(0.05, 0.00, 0.31)(0.06, 0.02, 0.32)(0.06, 0.03, 0.33)(0.03, -0.11, 0.27)(0.06, -0.05, 0.30)(0.08, -0.01, 0.32)(0.09, 0.01, 0.33)(0.10, 0.02, 0.34)(0.04, -0.11, 0.28)(0.07, -0.07, 0.31)(0.09, -0.03, 0.33)(0.10, -0.02, 0.34)(0.11, 0.00, 0.35)(0.04, -0.12, 0.28)(0.07, -0.09, 0.32)(0.10, -0.07, 0.33)(0.11, -0.06, 0.34)(0.12, -0.05, 0.35)
(0.04, -0.12, 0.26)(0.06, -0.09, 0.29)(0.02, -0.10, 0.27)(0.01, -0.05, 0.28)(0.01, -0.02, 0.29)(0.01, -0.01, 0.30)(0.03, -0.10, 0.27)(0.05, -0.05, 0.30)(0.07, -0.01, 0.32)(0.08, 0.01, 0.33)(0.09, 0.02, 0.34)(0.04, -0.11, 0.28)(0.07, -0.06, 0.31)(0.10, -0.02, 0.33)(0.11, 0.00, 0.34)(0.12, 0.01, 0.35)(0.05, -0.12, 0.28)(0.08, -0.08, 0.32)(0.11, -0.05, 0.33)(0.12, -0.03, 0.34)(0.13, -0.02, 0.35)(0.05, -0.13, 0.28)(0.08, -0.10, 0.32)(0.11, -0.08, 0.33)(0.12, -0.07, 0.34)(0.13, -0.06, 0.35)
(0.03, -0.12, 0.26)(0.05, -0.08, 0.29)(0.01, -0.10, 0.27)(-0.01, -0.06, 0.27)(-0.02, -0.03, 0.28)(-0.03, -0.01, 0.28)(0.03, -0.10, 0.27)(0.03, -0.04, 0.29)(0.04, 0.01, 0.29)(0.04, 0.03, 0.30)(0.05, 0.04, 0.31)(0.03, -0.10, 0.27)(0.05, -0.04, 0.29)(0.07, 0.01, 0.30)(0.08, 0.03, 0.31)(0.08, 0.04, 0.32)(0.04, -0.11, 0.28)(0.07, -0.05, 0.30)(0.08, -0.01, 0.31)(0.09, 0.01, 0.31)(0.10, 0.02, 0.32)(0.05, -0.11, 0.28)(0.08, -0.07, 0.31)(0.10, -0.04, 0.31)(0.11, -0.03, 0.32)(0.11, -0.02, 0.33)
(0.02, -0.11, 0.26)(0.02, -0.07, 0.27)(-0.01, -0.10, 0.26)(-0.04, -0.07, 0.25)(-0.06, -0.04, 0.26)(-0.07, -0.03, 0.26)(0.00, -0.10, 0.26)(-0.01, -0.03, 0.26)(-0.02, 0.01, 0.26)(-0.03, 0.03, 0.27)(-0.03, 0.05, 0.27)(0.01, -0.10, 0.26)(0.01, -0.03, 0.27)(0.00, 0.02, 0.27)(0.00, 0.05, 0.28)(0.00, 0.06, 0.28)(0.02, -0.10, 0.27)(0.02, -0.03, 0.28)(0.03, 0.01, 0.28)(0.02, 0.03, 0.29)(0.02, 0.05, 0.29)(0.03, -0.10, 0.27)(0.04, -0.04, 0.29)(0.05, -0.01, 0.29)(0.06, 0.01, 0.29)(0.06, 0.02, 0.30)
(0.00, -0.12, 0.25)(-0.01, -0.07, 0.26)(-0.03, -0.11, 0.25)(-0.07, -0.09, 0.25)(-0.09, -0.07, 0.25)(-0.11, -0.06, 0.25)(-0.02, -0.10, 0.25)(-0.05, -0.05, 0.25)(-0.07, -0.01, 0.25)(-0.08, 0.01, 0.26)(-0.09, 0.03, 0.26)(-0.01, -0.10, 0.25)(-0.03, -0.04, 0.26)(-0.05, 0.01, 0.26)(-0.05, 0.04, 0.26)(-0.06, 0.05, 0.26)(0.00, -0.10, 0.26)(-0.01, -0.04, 0.27)(-0.02, 0.01, 0.27)(-0.03, 0.03, 0.27)(-0.03, 0.04, 0.28)(0.01, -0.10, 0.26)(0.01, -0.04, 0.28)(0.01, -0.01, 0.27)(0.01, 0.01, 0.28)(0.01, 0.02, 0.28)
(0.00, -0.12, 0.25)(-0.02, -0.08, 0.26)(-0.03, -0.12, 0.25)(-0.07, -0.10, 0.25)(-0.10, -0.08, 0.25)(-0.12, -0.07, 0.25)(-0.02, -0.11, 0.25)(-0.06, -0.06, 0.25)(-0.08, -0.02, 0.25)(-0.10, 0.00, 0.25)(-0.10, 0.02, 0.26)(-0.01, -0.11, 0.25)(-0.04, -0.05, 0.26)(-0.06, 0.00, 0.26)(-0.07, 0.03, 0.26)(-0.07, 0.04, 0.26)(0.00, -0.10, 0.26)(-0.02, -0.04, 0.27)(-0.03, 0.00, 0.27)(-0.04, 0.02, 0.27)(-0.05, 0.04, 0.27)(0.00, -0.10, 0.26)(0.00, -0.05, 0.28)(0.00, -0.01, 0.27)(-0.01, 0.00, 0.28)(-0.01, 0.02, 0.28)
(0.00, -0.11, 0.25)(0.00, -0.07, 0.26)(-0.02, -0.10, 0.25)(-0.06, -0.07, 0.24)(-0.08, -0.05, 0.25)(-0.09, -0.03, 0.25)(-0.01, -0.10, 0.25)(-0.03, -0.04, 0.25)(-0.05, 0.01, 0.25)(-0.05, 0.03, 0.26)(-0.06, 0.04, 0.27)(-0.01, -0.10, 0.26)(-0.01, -0.03, 0.26)(-0.02, 0.02, 0.27)(-0.02, 0.04, 0.27)(-0.03, 0.06, 0.27)(0.00, -0.10, 0.26)(0.00, -0.04, 0.27)(0.00, 0.01, 0.28)(0.00, 0.03, 0.28)(0.00, 0.05, 0.29)(0.01, -0.10, 0.27)(0.02, -0.04, 0.29)(0.03, -0.01, 0.28)(0.03, 0.01, 0.29)(0.03, 0.02, 0.30)
(0.02, -0.11, 0.26)(0.04, -0.06, 0.28)(0.01, -0.08, 0.26)(-0.02, -0.05, 0.26)(-0.03, -0.02, 0.27)(-0.04, 0.00, 0.27)(0.02, -0.09, 0.26)(0.02, -0.02, 0.27)(0.02, 0.02, 0.28)(0.02, 0.04, 0.29)(0.02, 0.06, 0.30)(0.02, -0.09, 0.27)(0.04, -0.03, 0.28)(0.05, 0.02, 0.30)(0.06, 0.04, 0.30)(0.06, 0.06, 0.31)(0.03, -0.10, 0.27)(0.05, -0.04, 0.29)(0.07, 0.00, 0.30)(0.07, 0.02, 0.31)(0.08, 0.04, 0.32)(0.04, -0.10, 0.28)(0.06, -0.05, 0.30)(0.08, -0.03, 0.31)(0.09, -0.01, 0.32)(0.10, 0.00, 0.32)
(0.04, -0.11, 0.26)(0.06, -0.08, 0.29)(0.02, -0.09, 0.27)(0.01, -0.04, 0.27)(0.01, -0.01, 0.29)(0.00, 0.00, 0.29)(0.03, -0.09, 0.27)(0.05, -0.03, 0.29)(0.06, 0.01, 0.31)(0.07, 0.03, 0.32)(0.07, 0.04, 0.33)(0.04, -0.10, 0.27)(0.07, -0.04, 0.30)(0.09, 0.00, 0.32)(0.10, 0.02, 0.34)(0.10, 0.03, 0.34)(0.05, -0.10, 0.28)(0.08, -0.06, 0.31)(0.10, -0.02, 0.33)(0.11, -0.01, 0.34)(0.12, 0.01, 0.35)(0.05, -0.11, 0.28)(0.08, -0.08, 0.32)(0.11, -0.06, 0.33)(0.12, -0.05, 0.34)(0.13, -0.04, 0.35)
(0.04, -0.11, 0.26)(0.06, -0.08, 0.29)(0.03, -0.09, 0.27)(0.01, -0.04, 0.28)(0.01, -0.02, 0.29)(0.01, 0.00, 0.30)(0.04, -0.09, 0.27)(0.05, -0.04, 0.30)(0.07, 0.00, 0.31)(0.08, 0.02, 0.33)(0.09, 0.03, 0.34)(0.04, -0.10, 0.27)(0.07, -0.05, 0.31)(0.10, -0.01, 0.33)(0.11, 0.01, 0.34)(0.12, 0.02, 0.35)(0.05, -0.11, 0.28)(0.08, -0.06, 0.31)(0.11, -0.03, 0.33)(0.12, -0.02, 0.34)(0.13, 0.00, 0.35)(0.05, -0.12, 0.28)(0.09, -0.09, 0.32)(0.11, -0.06, 0.33)(0.13, -0.05, 0.34)(0.13, -0.05, 0.35)
(0.04, -0.11, 0.26)(0.05, -0.07, 0.28)(0.02, -0.09, 0.26)(-0.01, -0.05, 0.27)(-0.02, -0.02, 0.28)(-0.03, -0.01, 0.28)(0.03, -0.09, 0.27)(0.03, -0.03, 0.28)(0.04, 0.02, 0.28)(0.04, 0.04, 0.29)(0.04, 0.05, 0.30)(0.04, -0.10, 0.27)(0.05, -0.03, 0.29)(0.07, 0.01, 0.30)(0.07, 0.04, 0.30)(0.07, 0.05, 0.31)(0.05, -0.10, 0.27)(0.07, -0.04, 0.30)(0.08, 0.00, 0.30)(0.09, 0.02, 0.31)(0.09, 0.04, 0.31)(0.05, -0.11, 0.28)(0.08, -0.06, 0.31)(0.10, -0.03, 0.30)(0.11, -0.02, 0.31)(0.11, 0.00, 0.32)
(0.01, -0.11, 0.26)(0.01, -0.06, 0.27)(-0.01, -0.10, 0.26)(-0.05, -0.07, 0.26)(-0.07, -0.05, 0.26)(-0.08, -0.03, 0.26)(0.00, -0.09, 0.26)(-0.03, -0.03, 0.26)(-0.04, 0.01, 0.26)(-0.05, 0.03, 0.27)(-0.05, 0.05, 0.27)(0.01, -0.09, 0.26)(0.00, -0.03, 0.27)(-0.01, 0.02, 0.27)(-0.02, 0.05, 0.27)(-0.02, 0.06, 0.27)(0.02, -0.09, 0.27)(0.01, -0.03, 0.28)(0.01, 0.01, 0.28)(0.01, 0.04, 0.28)(0.01, 0.05, 0.28)(0.02, -0.10, 0.27)(0.03, -0.04, 0.29)(0.04, -0.01, 0.28)(0.04, 0.01, 0.29)(0.04, 0.03, 0.29)
(0.00, -0.12, 0.25)(-0.02, -0.07, 0.27)(-0.03, -0.11, 0.26)(-0.07, -0.10, 0.26)(-0.10, -0.08, 0.26)(-0.11, -0.07, 0.27)(-0.02, -0.11, 0.26)(-0.06, -0.05, 0.26)(-0.08, -0.01, 0.26)(-0.09, 0.01, 0.27)(-0.10, 0.02, 0.27)(-0.01, -0.11, 0.26)(-0.04, -0.04, 0.26)(-0.06, 0.00, 0.27)(-0.06, 0.03, 0.27)(-0.07, 0.04, 0.27)(0.00, -0.10, 0.26)(-0.02, -0.04, 0.27)(-0.03, 0.00, 0.27)(-0.04, 0.02, 0.28)(-0.04, 0.04, 0.28)(0.01, -0.10, 0.27)(0.00, -0.05, 0.28)(0.00, -0.01, 0.28)(0.00, 0.01, 0.28)(-0.01, 0.02, 0.29)
(0.00, -0.12, 0.25)(-0.01, -0.07, 0.27)(-0.03, -0.11, 0.26)(-0.06, -0.08, 0.26)(-0.08, -0.05, 0.27)(-0.10, -0.04, 0.27)(-0.02, -0.10, 0.26)(-0.04, -0.04, 0.27)(-0.05, 0.00, 0.27)(-0.06, 0.02, 0.28)(-0.07, 0.03, 0.29)(-0.01, -0.10, 0.26)(-0.02, -0.04, 0.27)(-0.02, 0.01, 0.28)(-0.03, 0.04, 0.29)(-0.03, 0.05, 0.29)(0.00, -0.10, 0.27)(0.00, -0.04, 0.28)(0.00, 0.00, 0.29)(0.00, 0.03, 0.29)(0.00, 0.04, 0.30)(0.01, -0.11, 0.27)(0.02, -0.05, 0.29)(0.02, -0.02, 0.29)(0.03, 0.00, 0.30)(0.03, 0.01, 0.31)
(0.01, -0.11, 0.26)(0.01, -0.07, 0.28)(-0.01, -0.10, 0.26)(-0.04, -0.06, 0.26)(-0.06, -0.03, 0.27)(-0.07, -0.02, 0.27)(0.00, -0.10, 0.26)(-0.01, -0.03, 0.27)(-0.01, 0.01, 0.28)(-0.02, 0.04, 0.29)(-0.02, 0.05, 0.29)(0.00, -0.10, 0.27)(0.01, -0.03, 0.28)(0.02, 0.02, 0.29)(0.02, 0.04, 0.30)(0.02, 0.06, 0.30)(0.01, -0.10, 0.27)(0.03, -0.04, 0.29)(0.04, 0.00, 0.30)(0.04, 0.03, 0.30)(0.04, 0.04, 0.31)(0.02, -0.10, 0.28)(0.04, -0.05, 0.30)(0.05, -0.02, 0.30)(0.06, -0.01, 0.31)(0.06, 0.00, 0.32)
(0.03, -0.11, 0.26)(0.04, -0.08, 0.29)(0.01, -0.09, 0.27)(-0.01, -0.05, 0.27)(-0.01, -0.02, 0.29)(-0.02, 0.00, 0.29)(0.02, -0.09, 0.27)(0.03, -0.03, 0.29)(0.05, 0.01, 0.30)(0.05, 0.03, 0.32)(0.05, 0.04, 0.33)(0.03, -0.10, 0.27)(0.05, -0.04, 0.30)(0.07, 0.00, 0.32)(0.08, 0.02, 0.33)(0.09, 0.04, 0.34)(0.04, -0.10, 0.28)(0.06, -0.06, 0.31)(0.09, -0.02, 0.32)(0.09, 0.00, 0.34)(0.10, 0.01, 0.34)(0.04, -0.11, 0.28)(0.07, -0.07, 0.32)(0.09, -0.05, 0.33)(0.10, -0.04, 0.33)(0.11, -0.03, 0.34)
(0.04, -0.12, 0.26)(0.06, -0.09, 0.30)(0.02, -0.09, 0.27)(0.01, -0.05, 0.28)(0.01, -0.02, 0.30)(0.01, -0.01, 0.31)(0.03, -0.10, 0.27)(0.05, -0.05, 0.30)(0.07, -0.01, 0.32)(0.08, 0.01, 0.34)(0.08, 0.02, 0.35)(0.04, -0.11, 0.28)(0.07, -0.06, 0.31)(0.09, -0.02, 0.33)(0.11, 0.00, 0.35)(0.11, 0.01, 0.36)(0.05, -0.12, 0.28)(0.08, -0.07, 0.32)(0.11, -0.04, 0.34)(0.12, -0.03, 0.35)(0.13, -0.02, 0.36)(0.05, -0.12, 0.28)(0.08, -0.09, 0.33)(0.11, -0.08, 0.34)(0.12, -0.07, 0.35)(0.13, -0.06, 0.36)
(0.03, -0.11, 0.26)(0.05, -0.08, 0.29)(0.01, -0.09, 0.27)(0.00, -0.05, 0.27)(-0.01, -0.02, 0.29)(-0.02, -0.01, 0.30)(0.03, -0.10, 0.27)(0.04, -0.03, 0.29)(0.05, 0.01, 0.30)(0.06, 0.03, 0.31)(0.06, 0.04, 0.32)(0.03, -0.10, 0.27)(0.06, -0.04, 0.30)(0.08, 0.00, 0.31)(0.09, 0.02, 0.32)(0.09, 0.04, 0.33)(0.04, -0.11, 0.28)(0.07, -0.06, 0.31)(0.09, -0.02, 0.32)(0.10, 0.00, 0.33)(0.11, 0.02, 0.33)(0.05, -0.11, 0.28)(0.08, -0.07, 0.31)(0.10, -0.05, 0.32)(0.11, -0.04, 0.33)(0.12, -0.03, 0.34)
(0.01, -0.10, 0.25)(0.01, -0.06, 0.27)(-0.02, -0.09, 0.26)(-0.05, -0.06, 0.25)(-0.06, -0.03, 0.26)(-0.07, -0.01, 0.27)(-0.01, -0.09, 0.26)(-0.02, -0.02, 0.26)(-0.02, 0.02, 0.27)(-0.02, 0.05, 0.27)(-0.02, 0.06, 0.28)(0.00, -0.09, 0.26)(0.01, -0.02, 0.27)(0.01, 0.03, 0.28)(0.01, 0.05, 0.28)(0.01, 0.07, 0.28)(0.01, -0.09, 0.27)(0.02, -0.03, 0.28)(0.03, 0.02, 0.28)(0.03, 0.04, 0.29)(0.03, 0.06, 0.29)(0.02, -0.09, 0.27)(0.04, -0.04, 0.29)(0.05, -0.01, 0.29)(0.06, 0.01, 0.29)(0.06, 0.02, 0.30)
(-0.01, -0.11, 0.25)(-0.02, -0.07, 0.26)(-0.04, -0.10, 0.25)(-0.08, -0.08, 0.25)(-0.10, -0.06, 0.26)(-0.12, -0.05, 0.27)(-0.03, -0.10, 0.25)(-0.06, -0.04, 0.26)(-0.08, 0.00, 0.26)(-0.09, 0.02, 0.27)(-0.09, 0.03, 0.27)(-0.02, -0.10, 0.26)(-0.04, -0.04, 0.26)(-0.05, 0.01, 0.27)(-0.06, 0.04, 0.27)(-0.06, 0.06, 0.28)(-0.01, -0.10, 0.26)(-0.02, -0.03, 0.27)(-0.03, 0.01, 0.28)(-0.03, 0.03, 0.28)(-0.04, 0.05, 0.29)(0.00, -0.10, 0.27)(0.00, -0.04, 0.29)(0.00, -0.01, 0.28)(0.00, 0.01, 0.29)(0.00, 0.02, 0.29)
(-0.02, -0.12, 0.25)(-0.03, -0.08, 0.27)(-0.04, -0.11, 0.26)(-0.09, -0.10, 0.26)(-0.11, -0.08, 0.27)(-0.13, -0.07, 0.27)(-0.03, -0.11, 0.26)(-0.07, -0.06, 0.26)(-0.09, -0.02, 0.26)(-0.11, 0.00, 0.27)(-0.11, 0.02, 0.28)(-0.03, -0.11, 0.26)(-0.05, -0.05, 0.27)(-0.07, 0.00, 0.27)(-0.08, 0.03, 0.28)(-0.09, 0.04, 0.28)(-0.02, -0.10, 0.26)(-0.03, -0.04, 0.28)(-0.05, 0.00, 0.28)(-0.05, 0.02, 0.28)(-0.06, 0.04, 0.28)(-0.01, -0.10, 0.27)(-0.01, -0.05, 0.29)(-0.02, -0.01, 0.28)(-0.02, 0.00, 0.29)(-0.02, 0.02, 0.29)
(0.00, -0.11, 0.25)(0.00, -0.06, 0.27)(-0.03, -0.09, 0.25)(-0.06, -0.06, 0.25)(-0.07, -0.03, 0.26)(-0.09, -0.02, 0.27)(-0.01, -0.09, 0.26)(-0.03, -0.02, 0.26)(-0.03, 0.02, 0.27)(-0.04, 0.04, 0.27)(-0.04, 0.06, 0.28)(-0.01, -0.09, 0.26)(-0.01, -0.02, 0.27)(-0.01, 0.03, 0.28)(-0.01, 0.05, 0.28)(-0.01, 0.07, 0.29)(0.00, -0.09, 0.26)(0.01, -0.03, 0.28)(0.02, 0.02, 0.28)(0.02, 0.04, 0.29)(0.02, 0.06, 0.29)(0.01, -0.09, 0.27)(0.02, -0.04, 0.29)(0.04, -0.01, 0.29)(0.04, 0.01, 0.30)(0.04, 0.02, 0.30)
(0.02, -0.10, 0.26)(0.04, -0.06, 0.28)(0.01, -0.08, 0.26)(-0.02, -0.04, 0.26)(-0.02, -0.01, 0.28)(-0.03, 0.01, 0.28)(0.02, -0.08, 0.27)(0.02, -0.02, 0.28)(0.03, 0.03, 0.29)(0.03, 0.05, 0.30)(0.03, 0.06, 0.31)(0.02, -0.08, 0.27)(0.04, -0.02, 0.29)(0.06, 0.02, 0.30)(0.07, 0.05, 0.31)(0.07, 0.06, 0.32)(0.03, -0.09, 0.27)(0.06, -0.03, 0.30)(0.07, 0.00, 0.31)(0.08, 0.02, 0.32)(0.09, 0.04, 0.33)(0.04, -0.10, 0.28)(0.06, -0.05, 0.31)(0.09, -0.03, 0.31)(0.10, -0.01, 0.32)(0.10, 0.00, 0.33)
(0.04, -0.11, 0.26)(0.06, -0.08, 0.29)(0.03, -0.08, 0.27)(0.01, -0.04, 0.28)(0.01, -0.01, 0.29)(0.01, 0.00, 0.30)(0.04, -0.09, 0.27)(0.05, -0.03, 0.30)(0.07, 0.00, 0.32)(0.08, 0.02, 0.33)(0.08, 0.03, 0.35)(0.04, -0.10, 0.28)(0.07, -0.05, 0.31)(0.09, -0.01, 0.33)(0.10, 0.01, 0.35)(0.11, 0.02, 0.36)(0.05, -0.10, 0.28)(0.08, -0.06, 0.32)(0.10, -0.03, 0.34)(0.11, -0.02, 0.35)(0.12, 0.00, 0.36)(0.05, -0.11, 0.28)(0.08, -0.08, 0.33)(0.11, -0.06, 0.34)(0.12, -0.05, 0.35)(0.13, -0.05, 0.36)
(0.04, -0.11, 0.26)(0.06, -0.07, 0.29)(0.03, -0.08, 0.27)(0.01, -0.04, 0.28)(0.01, -0.01, 0.29)(0.00, 0.00, 0.30)(0.04, -0.09, 0.27)(0.05, -0.03, 0.30)(0.07, 0.01, 0.31)(0.07, 0.03, 0.32)(0.08, 0.04, 0.33)(0.04, -0.09, 0.27)(0.07, -0.04, 0.30)(0.09, 0.00, 0.32)(0.10, 0.02, 0.34)(0.11, 0.03, 0.35)(0.05, -0.10, 0.28)(0.08, -0.06, 0.31)(0.11, -0.02, 0.32)(0.12, 0.00, 0.34)(0.12, 0.01, 0.35)(0.05, -0.11, 0.28)(0.09, -0.08, 0.32)(0.11, -0.05, 0.33)(0.12, -0.04, 0.34)(0.13, -0.03, 0.35)
(0.02, -0.10, 0.26)(0.03, -0.05, 0.27)(0.00, -0.08, 0.26)(-0.02, -0.04, 0.26)(-0.04, -0.01, 0.27)(-0.04, 0.00, 0.27)(0.01, -0.08, 0.26)(0.01, -0.02, 0.27)(0.02, 0.03, 0.27)(0.02, 0.05, 0.28)(0.02, 0.07, 0.28)(0.02, -0.08, 0.27)(0.03, -0.02, 0.28)(0.04, 0.03, 0.28)(0.05, 0.06, 0.29)(0.05, 0.07, 0.30)(0.03, -0.09, 0.27)(0.05, -0.03, 0.29)(0.06, 0.02, 0.29)(0.07, 0.04, 0.30)(0.07, 0.05, 0.30)(0.04, -0.09, 0.28)(0.06, -0.04, 0.30)(0.08, -0.01, 0.30)(0.09, 0.00, 0.30)(0.09, 0.02, 0.31)
(-0.01, -0.10, 0.25)(-0.01, -0.05, 0.26)(-0.03, -0.08, 0.25)(-0.07, -0.06, 0.25)(-0.09, -0.03, 0.25)(-0.10, -0.02, 0.26)(-0.02, -0.08, 0.25)(-0.04, -0.02, 0.25)(-0.05, 0.02, 0.25)(-0.06, 0.05, 0.26)(-0.07, 0.06, 0.27)(-0.01, -0.08, 0.25)(-0.02, -0.02, 0.26)(-0.03, 0.03, 0.27)(-0.03, 0.06, 0.27)(-0.03, 0.08, 0.27)(0.00, -0.08, 0.26)(0.00, -0.02, 0.27)(-0.01, 0.02, 0.27)(-0.01, 0.05, 0.28)(-0.01, 0.06, 0.28)(0.00, -0.08, 0.26)(0.01, -0.03, 0.28)(0.02, 0.00, 0.28)(0.02, 0.02, 0.28)(0.02, 0.04, 0.29)
(-0.03, -0.11, 0.25)(-0.04, -0.06, 0.26)(-0.05, -0.10, 0.25)(-0.09, -0.08, 0.25)(-0.12, -0.06, 0.26)(-0.13, -0.05, 0.27)(-0.04, -0.10, 0.25)(-0.07, -0.04, 0.25)(-0.09, 0.00, 0.26)(-0.10, 0.02, 0.26)(-0.11, 0.03, 0.27)(-0.03, -0.10, 0.26)(-0.05, -0.03, 0.26)(-0.07, 0.02, 0.27)(-0.08, 0.04, 0.27)(-0.08, 0.06, 0.28)(-0.02, -0.09, 0.26)(-0.03, -0.03, 0.27)(-0.04, 0.01, 0.27)(-0.05, 0.03, 0.28)(-0.05, 0.05, 0.28)(-0.02, -0.09, 0.26)(-0.02, -0.04, 0.28)(-0.02, 0.00, 0.28)(-0.01, 0.01, 0.28)(-0.02, 0.03, 0.29)
(-0.03, -0.12, 0.25)(-0.04, -0.07, 0.26)(-0.05, -0.11, 0.25)(-0.10, -0.09, 0.25)(-0.12, -0.07, 0.26)(-0.13, -0.06, 0.27)(-0.04, -0.10, 0.25)(-0.08, -0.05, 0.26)(-0.10, -0.01, 0.26)(-0.11, 0.02, 0.27)(-0.12, 0.03, 0.28)(-0.04, -0.10, 0.25)(-0.06, -0.04, 0.26)(-0.07, 0.01, 0.27)(-0.08, 0.03, 0.28)(-0.09, 0.05, 0.28)(-0.02, -0.10, 0.26)(-0.04, -0.04, 0.27)(-0.05, 0.01, 0.28)(-0.05, 0.03, 0.28)(-0.06, 0.04, 0.29)(-0.02, -0.10, 0.26)(-0.02, -0.04, 0.28)(-0.02, -0.01, 0.28)(-0.02, 0.01, 0.29)(-0.02, 0.02, 0.29)
(-0.01, -0.10, 0.25)(-0.01, -0.05, 0.26)(-0.04, -0.09, 0.25)(-0.07, -0.06, 0.25)(-0.09, -0.03, 0.26)(-0.10, -0.02, 0.26)(-0.02, -0.08, 0.25)(-0.04, -0.02, 0.26)(-0.05, 0.02, 0.26)(-0.06, 0.04, 0.27)(-0.07, 0.06, 0.28)(-0.02, -0.08, 0.26)(-0.02, -0.02, 0.27)(-0.03, 0.03, 0.27)(-0.03, 0.06, 0.28)(-0.03, 0.07, 0.29)(-0.01, -0.09, 0.26)(0.00, -0.02, 0.28)(0.00, 0.02, 0.28)(-0.01, 0.04, 0.29)(-0.01, 0.06, 0.29)(0.00, -0.09, 0.27)(0.01, -0.03, 0.29)(0.02, 0.00, 0.28)(0.02, 0.02, 0.29)(0.02, 0.03, 0.30)
